0	0	1
1	0	0
2	0	1
3	0	1
4	0	1
5	0	0
6	0	0
7	0	1
0	1	1
1	1	1
2	1	0
3	1	0
4	1	1
5	1	1
6	1	1
7	1	0
0	2	1
1	2	1
2	2	1
3	2	1
4	2	0
5	2	1
6	2	0
7	2	1
0	3	0
1	3	1
2	3	0
3	3	1
4	3	1
5	3	1
6	3	0
7	3	0
0	4	1
1	4	1
2	4	1
3	4	1
4	4	1
5	4	0
6	4	0
7	4	1
0	5	1
1	5	0
2	5	0
3	5	0
4	5	1
5	5	1
6	5	1
7	5	1
0	6	0
1	6	1
2	6	0
3	6	0
4	6	1
5	6	0
6	6	1
7	6	0
0	7	1
1	7	1
2	7	0
3	7	1
4	7	1
5	7	1
6	7	1
7	7	0
0	8	0
1	8	1
2	8	1
3	8	1
4	8	1
5	8	1
6	8	1
7	8	1
0	9	0
1	9	0
2	9	1
3	9	1
4	9	0
5	9	1
6	9	0
7	9	0
0	10	0
1	10	0
2	10	1
3	10	0
4	10	1
5	10	0
6	10	0
7	10	1
0	11	1
1	11	0
2	11	1
3	11	0
4	11	1
5	11	1
6	11	0
7	11	0
0	12	0
1	12	0
2	12	1
3	12	0
4	12	1
5	12	0
6	12	0
7	12	0
0	13	1
1	13	1
2	13	1
3	13	1
4	13	1
5	13	0
6	13	1
7	13	0
0	14	1
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	1
7	14	0
0	15	0
1	15	0
2	15	1
3	15	1
4	15	1
5	15	1
6	15	1
7	15	1
0	16	1
1	16	1
2	16	1
3	16	1
4	16	1
5	16	0
6	16	1
7	16	1
0	17	0
1	17	1
2	17	1
3	17	1
4	17	1
5	17	0
6	17	1
7	17	0
0	18	0
1	18	1
2	18	0
3	18	0
4	18	1
5	18	0
6	18	1
7	18	0
0	19	1
1	19	1
2	19	0
3	19	0
4	19	1
5	19	0
6	19	1
7	19	0
0	20	1
1	20	1
2	20	1
3	20	1
4	20	0
5	20	0
6	20	1
7	20	0
0	21	1
1	21	0
2	21	0
3	21	1
4	21	0
5	21	1
6	21	0
7	21	0
0	22	1
1	22	0
2	22	0
3	22	0
4	22	1
5	22	1
6	22	0
7	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	1
6	23	0
7	23	0
0	24	0
1	24	1
2	24	1
3	24	0
4	24	1
5	24	0
6	24	0
7	24	0
0	25	0
1	25	0
2	25	0
3	25	1
4	25	1
5	25	1
6	25	0
7	25	0
0	26	0
1	26	0
2	26	0
3	26	0
4	26	0
5	26	1
6	26	1
7	26	1
0	27	1
1	27	0
2	27	0
3	27	0
4	27	1
5	27	1
6	27	0
7	27	0
0	28	1
1	28	1
2	28	1
3	28	1
4	28	1
5	28	0
6	28	0
7	28	0
0	29	1
1	29	0
2	29	1
3	29	0
4	29	1
5	29	0
6	29	0
7	29	0
0	30	1
1	30	1
2	30	0
3	30	1
4	30	1
5	30	1
6	30	1
7	30	1
0	31	0
1	31	1
2	31	1
3	31	0
4	31	1
5	31	0
6	31	0
7	31	1
0	32	0
1	32	0
2	32	1
3	32	0
4	32	0
5	32	1
6	32	0
7	32	0
0	33	0
1	33	0
2	33	1
3	33	0
4	33	1
5	33	0
6	33	1
7	33	1
0	34	0
1	34	0
2	34	0
3	34	1
4	34	0
5	34	1
6	34	0
7	34	1
0	35	0
1	35	1
2	35	0
3	35	1
